Номер Задачи,Деятельность,Направление,Количество_Пользователей
8113,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8096,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8093,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8091,Разработка,FI-AA - Основные средства,1
8086,Разработка,MM - Управление материалами,1
8086,Настройка,MM - Управление материалами,1
8085,Разработка,MM - Управление материалами,1
8083,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8083,Документирование,ISU - Энергетика и коммунальное хозяйство,1
8069,Разработка,PP - Производственное планирование,1
8053,Разработка,ISU - Энергетика и коммунальное хозяйство,1
10845,Разработка,PP - Производственное планирование,1
10750,Документирование,MM - Управление материалами,1
10776,Разработка,PP - Производственное планирование,1
7663,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7758,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7734,Разработка,MM - Управление материалами,1
7722,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7705,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7704,Разработка,HCM - Управление персоналом,1
7701,Разработка,HCM - Управление персоналом,1
7700,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7691,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7687,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7686,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7681,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7675,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7671,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7670,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7653,Разработка,HCM - Управление персоналом,1
7779,Разработка,FI-AA - Основные средства,1
7653,Документирование,HCM - Управление персоналом,1
7640,Разработка,PP - Производственное планирование,1
7639,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7630,Разработка,PP - Производственное планирование,1
7623,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7607,Разработка,HCM - Управление персоналом,1
7595,Разработка,HCM - Управление персоналом,1
7578,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7576,Разработка,HCM - Управление персоналом,1
7573,Разработка,HCM - Управление персоналом,1
7565,Разработка,HCM - Управление персоналом,1
7563,Разработка,PP - Производственное планирование,1
7554,Разработка,PP - Производственное планирование,1
7543,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7774,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7789,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7500,Документирование,PP - Производственное планирование,1
7866,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7918,Документирование,ISU - Энергетика и коммунальное хозяйство,1
7913,Разработка,MM - Управление материалами,1
7911,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7908,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7902,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7898,Разработка,HCM - Управление персоналом,1
7885,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7883,Разработка,MM - Управление материалами,1
7881,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
7880,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7877,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7871,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7868,Разработка,PP - Производственное планирование,1
7868,Документирование,PP - Производственное планирование,1
7864,Документирование,ISU - Энергетика и коммунальное хозяйство,1
7794,Документирование,ISU - Энергетика и коммунальное хозяйство,1
7863,Документирование,ISU - Энергетика и коммунальное хозяйство,1
7860,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7838,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7833,Разработка,ISU - Энергетика и коммунальное хозяйство,1
