Issue ID,Subject,Project,Subtasks,Subtasks ID,Stage
8389,Редактирование Шаблона экспорта, SAP22004_KONS_03 Заработная плата и кадры,,,
8388,STRY0014867 Доработка операции формирования заявки на платеж по исполнительным документам,РусАгро - ЗНИ,,,
8387,"Скрытие кнопок в справочниках, исправление сервиса в Приемке, дополнение фильтра в Заказе на работу",SAP22006_KONS_04 - Переход на платформу 10.5,,,
8386,График учета рабочего времени открывает больничный лист, SAP22004_KONS_03 Заработная плата и кадры,,,
8385,"Проверка корректности формирования печатных форм документов, доработка Личной карточки", SAP22004_KONS_03 Заработная плата и кадры,,,
8384,STRY0014557 Доработать функционал формирования записей в Журнале приготовления и контроль при создании ПУЛ,РусАгро - ЗНИ,,,
8383,STRY0013361 - Скорректировать отчет для формирования статистики приготовления МР на РУ (ZRU_EXPORT_STAT),РусАгро - ЗНИ,,,
8382,"Инструментарий для расчетов, Алгоритмы расчетов", SAP22004_KONS_03 Заработная плата и кадры,,,
8381,"Приказ О приеме на работу (ограничение Даты приказа, корректировка формы)", SAP22004_KONS_03 Заработная плата и кадры,,,
8380,Информационная панель: Доработка объекта ролевого доступа,СудДеп,,,
8379,CHG0035924 - Описание работы транзакции ZMM_MASLO ,РусАгро - Тех.поддержка,,,
8378,"Ошибка загрузки больничного Значение типа ""Bas.Data.Entity"" используется как ""Bas.Rec.Data.Entity"" ", SAP22004_KONS_03 Заработная плата и кадры,,,
8377,(43) Доработка транзакции Z_1C_ZUP. Разделение времени у переходящих ПУЛов при передачи времени в 1С,SAP21011_RA_07 РусАгро переход с SAP HCM на 1С,,,
8376,CHG0035924 - документирование транзакции ZMM_CLAIM_OZM ,РусАгро - Тех.поддержка,,,
8375,CHG0035924 - документирование транзакции ZPM_NIGHT_KEEP,РусАгро - Тех.поддержка,,,
8374,"2000091596, LIST15_2 ЗАПРОС ДЖКХ",SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8373,При добавлении подразделения сообщение с лишней информацией, SAP22004_KONS_03 Заработная плата и кадры,,,
8372,CHG0035924 - документирование транзакции ZPM_ORD_CREATE,РусАгро - Тех.поддержка,,,
8371,RTSK0260941 Доработка поступления в МП ОЗМ с разной ценой,РусАгро - Штрих-кодирование,,,
8370,Разработка отчетов по ОН в разрезе форм собственности и видов права управления ,СудДеп,,,
8369,RTSK0260941 Доработка поступления в МП ОЗМ с разной ценой,РусАгро - Штрих-кодирование,,,
8368,CHG0035924 - документирование транзакции ZSD_DECL_MAINT ,РусАгро - Тех.поддержка,,,
8367,CHG0035924 - документирование транзакции ZPM_MASS_CALC,РусАгро - Тех.поддержка,,,
