#;Проект;Тема;Подзадачи;Связанные задачи
10630; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Справочник Объекты;"";""
10629;Пилотный проект Аэрофлот (ТТ+ТБ);Доработка пакета соединения системы Турбо Трекинг и Турбо Бюдженитование;"";""
10628; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Выгрузка параметров в таблицу;"";""
10627; Релизы ТУРБО;Подготовка Технического описания проекта Repair;"";""
10626; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Параметры в отчете Структура площадей по ФО;"";""
10623; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;4.2 и 4.3 Изменение карточки ТС;"";""
10622;РусАгро - ЗНИ;SHLOG-187 Доработка справочника лабораторных анализов в АРМ Весовщика и создание новой плитки в интерфейсе;"";скопирована с #10075, скопирована в #10750
10621;Белгородская индейка;Доработка карточки контейнера;"";""
10620; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;График поставок - Просмотр данных;"";""
10619; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Якорь на пробег;"";""
10617;SAP23012_NOKT_01 Сопровождение ТУРБО ТОРО для Нокиан Тайерс;OPTIS-348 OPTIS-349 OPTIS-350;"";""
10616;SAP23012_NOKT_01 Сопровождение ТУРБО ТОРО для Нокиан Тайерс;OPTIS-337. Не обновляются остатки после инвентаризации;"";""
10615;SAP23012_NOKT_01 Сопровождение ТУРБО ТОРО для Нокиан Тайерс;OPTIS-332. При проведении инвентаризации занулились позиции;"";""
10613; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;1.6. Отражение затрат в ОИ;"";""
10612; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Сделать поля обязательными для заполнения;"";""
10610;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;"Доработка ""Отчета по приемкам"" ";"";""
10609;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;"Доработка ""Отчета по заявкам на обслуживание""  ";#10610;""
10608;NIS Сербия SAP23006_NPS_01  ;CR 696454 Доработка программы transakciji ZINT_PRICEB;"";""
10607;РусАгро - Штрих-кодирование;SHLOG-224 / LOG-199 / RFID-метки;"";""
10606;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-53;#10784, #10785;""
10604;Белгородская индейка;Необходимо скорректировать орг. структуру;"";""
10601; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Ошибка работы характеристик на вэб клиенте;"";""
10600; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Отчет Объекты культурного наследия;"";""
10599; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Ошибка в отчетности;"";""
10598; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Ошибка расчета срока действия договора;"";""
10594;Белгородская индейка;"В ""Сделке продажи"" на вкладке ""Заявка"" нет возможности ввести количество упаковок";"";""
10593; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;ShippingTimeline;"";""
10592;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-110;#10798, #10799, #11095, #11132;""
10585;Белгородская индейка;При автоматическом создании ТМЦ из Меркурия не записывается значение Typ;"";""
10584;NIS Сербия SAP23006_NPS_01  ;666434 Интеграция САП с системой Терефоре (через PI);"";""
