#;Проект;Тема;Подзадачи;Связанные задачи
10787;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-72;"";""
10786;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-55;"";""
10785;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-53 (мобильное приложение);"";""
10784;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-53 (десктопная часть);"";""
10783;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-84;"";""
10781;РусАгро - ЗНИ;SHLOG-203 Создание IDoc при создании\изменении единиц оборудования.;"";""
10780;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Налоговый мониторинг -Книги покупок, таблица БД;"";""
10779;Белгородская индейка;ТУРБО 10.51 ФудТех - Первичная документация;#11069;""
10778;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;В отчете 7.8Т выводятся строки с нулевыми показателями;"";""
10777;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;"Доработка проверки в карточке ""Заявка на обслуживание""";"";""
10776;РусАгро - ЗНИ;SHLOG-203 Создание IDoc при создании\изменении материала.;"";""
10775;РусАгро - ЗНИ;SHLOG-203 Создание таблицы и транзакции для ее просмотра и ведения. Выездная инвентаризация РАИ.  ;"";""
10774;Белгородская индейка;ТУРБО 10.51 ФудТех - Разработка транспортных справочников и доработка документов движения ТМЦ;"";""
10773;NIS Сербия SAP23006_NPS_01  ;CR 749015 оценка доработки тр. Z_PRINTMNG, расширение XML;"";""
10772;NIS Сербия SAP23006_NPS_01  ;Программа ZCO_INT_STOCK_POST;"";""
10771; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;"Требуется добавить выгрузку в отчеты ""Отчет годовое потребление ГСМ"" и ""Отчет по расходу ГСМ""";"";""
10770;Белгородская индейка;ТУРБО 10.51 ФудТех - Разработка инструмента ведения ПУЦ;"";""
10768;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Налоговый мониторинг -Книги продаж, таблица БД;"";""
10767;NIS Сербия SAP23006_NPS_01  ;CR 1138624 v.2.0 Замена счета компании по представленному примеру;"";""
10765; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Отсутствие скролла в настраиваемых отчетах;"";""
10764;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;"Доработка отчета ""Неактуальные сведения""";"";""
10763; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"В отчет ""Объекты по видам собственности"" вывести промежуточные итоги";"";""
10762;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Доработка программы формирования печатных форм расчетно-платежных документов.;"";""
10760;SAP22030_NOKT_02 Нокиан  вторая очередь; OPTIS-373 Таблицы интеграции ERP-OPTIMA;"";""
10759;NIS Сербия SAP23006_NPS_01  ;Опекс RQ 537792 PZ document,abap code connected with 'Interface 39' in 1410;"";""
10758;NIS Сербия SAP23006_NPS_01  ;Капекс CR-1, ( RQ 1155566)  ZCJI3;"";""
10757;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-189;"";""
10756;NIS Сербия SAP23006_NPS_01  ;CR 601662 / LO : Ошибка программы - транзакция VF03;"";""
10755;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Доработка «Универсального отчета по объектам недвижимости»;"";""
10753; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Запрос IM9922761. Возможность продления договоров;"";""
10750;РусАгро - ЗНИ;SHLOG-187 Доработка справочника лабораторных анализов в АРМ Весовщика и создание новой плитки в интерфейсе;"";скопирована с #10622
10746; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Ошибка при открытии объекта имущества;"";""
10745;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-42. Доработка мобильного приложения ;"";""
10744;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-42. Доработка клиентского приложения ;"";""
10743;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-42;#10744, #10745;""
10741;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Пакетник на заполнение удельного показателя кадастровой стоимости;"";""
10740; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Объекты имущества 1.20 Многопозиционный Факт БДР;"";""
10739;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Ошибка при сохранении карточки ОН: неверно отрабатывает проверка на суммарную площадь по документам управления;"";""
10735;SAP23012_NOKT_01 Сопровождение ТУРБО ТОРО для Нокиан Тайерс;OPTIS-371. Не получается загрузить PO в систему;"";""
10734;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;В отчет по неиспользуемым объектам попадают ОН со статусом Архивный;"";""
10733;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Ошибка при формировании печатной формы Отчета по размещению архивов судов;"";""
10731;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;В отчет 7.2 не выводятся данные оплат и актов, внесенные на объекты жилой недвижимости;"";""
10730;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Доработка алгоритма в программе формирования данных для расчетно-платежных документов по заявке 2000107978 (7000407965);"";""
10729; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;1.7 Общий отчет по затратам;"";""
10727; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Настройка отчета Сводный реестр земельных участков;"";""
10726; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Запросы СУЭ IM9742961 и IM9830024;"";""
